# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\78574\OneDrive - International Campus, Zhejiang University\ECE 385 Lab\Lab4\Quartus\logic_processor_4bit\BitsSerialProcessor.csv
# Generated on: Mon Oct 11 23:08:30 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AhexL[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
AhexL[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
AhexL[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
AhexL[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
AhexL[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
AhexL[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
AhexL[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
AhexU[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
AhexU[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
AhexU[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
AhexU[3],Output,PIN_AB21,4,B4_N0,PIN_AB21,2.5 V,,,,,
AhexU[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
AhexU[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
AhexU[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
Aval[7],Output,PIN_H15,7,B7_N2,PIN_H15,2.5 V,,,,,
Aval[6],Output,PIN_G16,7,B7_N2,PIN_G16,2.5 V,,,,,
Aval[5],Output,PIN_G15,7,B7_N2,PIN_G15,2.5 V,,,,,
Aval[4],Output,PIN_F15,7,B7_N2,PIN_F15,2.5 V,,,,,
Aval[3],Output,PIN_H17,7,B7_N2,PIN_H17,2.5 V,,,,,
Aval[2],Output,PIN_J16,7,B7_N2,PIN_J16,2.5 V,,,,,
Aval[1],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
Aval[0],Output,PIN_J15,7,B7_N2,PIN_J15,2.5 V,,,,,
BhexL[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
BhexL[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
BhexL[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
BhexL[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
BhexL[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
BhexL[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
BhexL[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
BhexU[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
BhexU[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
BhexU[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
BhexU[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
BhexU[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
BhexU[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
BhexU[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
Bval[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
Bval[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
Bval[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
Bval[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
Bval[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
Bval[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
Bval[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
Bval[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
Din[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
Din[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
Din[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
Din[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
Din[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
Din[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
Din[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
Din[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
Execute,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
F[2],Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
F[1],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
F[0],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
LED[3],Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,
LED[2],Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
LED[1],Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
LED[0],Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
LoadA,Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
LoadB,Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
R[1],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
R[0],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
